city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
East Riverdale,East Riverdale,MD,Maryland,24033,Prince George's,38.96,-76.9108,15467,3697,polygon,FALSE,FALSE,America/New_York,2,20781 20737,1840031482
Rio Linda,Rio Linda,CA,California,6067,Sacramento,38.6876,-121.4418,15460,603,polygon,FALSE,FALSE,America/Los_Angeles,3,95673,1840018843
Red Hill,Red Hill,SC,South Carolina,45051,Horry,33.7777,-79.0111,15459,539,polygon,FALSE,FALSE,America/New_York,3,29588 29526 29579,1840013649
Hartford,Hartford,WI,Wisconsin,55131,Washington,43.3223,-88.3782,15445,709,polygon,FALSE,TRUE,America/Chicago,3,53027,1840002831
Holly Springs,Holly Springs,GA,Georgia,13057,Cherokee,34.1685,-84.4845,15442,849,polygon,FALSE,TRUE,America/New_York,3,30114 30115 30142,1840014704
Hayden,Hayden,ID,Idaho,16055,Kootenai,47.768,-116.8039,15434,572,polygon,FALSE,TRUE,America/Los_Angeles,3,83835,1840019808
Middleburg Heights,Middleburg Heights,OH,Ohio,39035,Cuyahoga,41.3695,-81.8151,15432,737,polygon,FALSE,TRUE,America/New_York,3,44130,1840000614
La Palma,La Palma,CA,California,6059,Orange,33.8504,-118.0406,15428,3340,polygon,FALSE,TRUE,America/Los_Angeles,2,90623,1840020586
Mount Vernon,Mount Vernon,IL,Illinois,17081,Jefferson,38.314,-88.9174,15427,389,polygon,FALSE,TRUE,America/Chicago,3,62864,1840008654
Pacific Grove,Pacific Grove,CA,California,6053,Monterey,36.6192,-121.9255,15413,2081,polygon,FALSE,TRUE,America/Los_Angeles,2,93950,1840020359
Fort Carson,Fort Carson,CO,Colorado,8041,El Paso,38.7403,-104.784,15410,692,polygon,TRUE,TRUE,America/Denver,3,80902 80913,1840028557
Asbury Park,Asbury Park,NJ,New Jersey,34025,Monmouth,40.2226,-74.0119,15408,4163,polygon,FALSE,TRUE,America/New_York,2,7712,1840003684
Pulaski,Pulaski,VA,Virginia,51155,Pulaski,37.0528,-80.7624,15407,416,polygon,FALSE,TRUE,America/New_York,3,24301,1840006469
Great Falls,Great Falls,VA,Virginia,51059,Fairfax,39.011,-77.3013,15394,234,polygon,FALSE,FALSE,America/New_York,3,22066,1840006028
Rossville,Rossville,MD,Maryland,24005,Baltimore,39.3572,-76.4767,15392,1104,polygon,FALSE,FALSE,America/New_York,3,21236 21237,1840031398
